Sun Oct 15 11:39:37 +0000 2017,Here is our kids 💩future💩 in a poofter marriage state @LiberalNSW @AustralianLabor 😢 #Auspol https://t.co/qEiTjMOeu5
Sun Oct 15 10:50:00 +0000 2017,@iborgward If #turnbull or @liberalnsw told me the time I would look at my watch. Pack of corrupt lying #rorts pricks #auspol
Sun Oct 15 10:36:58 +0000 2017,@mackaysuzie @WorldOfMarkyD @GladysB @LiberalNSW Still hoping it's wrong 😟
Sun Oct 15 10:30:11 +0000 2017,@Graeme_Bowman @WorldOfMarkyD @GladysB @LiberalNSW Apparently because the state is doing well it’s because of the LNP government
Sun Oct 15 10:27:46 +0000 2017,@mackaysuzie @WorldOfMarkyD Think that count is wrong!!! @GladysB and the @LiberalNSW are really on the nose for what she's doing
Sun Oct 15 02:32:26 +0000 2017,@smh @1petermartin @billshortenmp @LucyTurnbullGSC @GladysB @LiberalNSW By 2020 no family will be living in unaffordable housing
Sat Oct 14 12:01:37 +0000 2017,@BradHazzard @LiberalNSW @AMA_NSW @NSWHealth Would have been a great opportunity for #Annie to discuss #HERCHOICE.… https://t.co/LKOEaqlfz9
Sat Oct 14 09:19:06 +0000 2017,@GladysB @JohnBarilaroMP #massiveswings #Cootamundra #Murray disillusioned rural voters sending another message to @LiberalNSW @NSWNationals
Sat Oct 14 06:43:42 +0000 2017,The latest The Wollongong Happenings Daily! https://t.co/8RBYxTE9IY Thanks to @LiberalNSW #travel #photo
Sat Oct 14 04:46:43 +0000 2017,"@kailamurnain @mackaysuzie @NSWNationals At least they're not attacking with box cutters like @LiberalNSW, but as u… https://t.co/SZiy8aSgpD"
Fri Oct 13 23:49:50 +0000 2017,RT @Jolanda04: @cmroy4 @LiberalNSW They are doing nothing. For some reason child abuse isn't important enough for them.   They fail in thei…
Fri Oct 13 22:48:49 +0000 2017,@cmroy4 @LiberalNSW They are doing nothing. For some reason child abuse isn't important enough for them.   They fai… https://t.co/KyWhNaMxvL
Fri Oct 13 22:39:16 +0000 2017,What exactly are the @LiberalNSW doing to address the hundreds of child abuse reports in NSW schools? #disabilityviolence #royalcommission
Fri Oct 13 22:35:17 +0000 2017,Senate &amp; Parliamentary Inquiries but still no Royal Commission. @LiberalAus  #disabilityviolence #royalcommission @LiberalNSW
Fri Oct 13 09:43:08 +0000 2017,Hard to send a message to @LiberalNSW if they don't have a candidate. Right? #nswpol https://t.co/GC4QGekruE
Fri Oct 13 06:09:32 +0000 2017,"https://t.co/SnivZPWt9N

When you have a good thing, You copy it. @LiberalNSW ,"
Fri Oct 13 01:00:06 +0000 2017,@crudeoilpeak @smh @SeanNic @GladysB @LiberalNSW That’s the way it should be. Retards shouldn’t get the same vote as productive people
Thu Oct 12 23:35:32 +0000 2017,"@smh @SeanNic @GladysB @LiberalNSW Remember: democracy means 1 man=1 vote and 1 woman=1 vote, not 1 donation dollar… https://t.co/kX32RCtcbT"
Thu Oct 12 22:10:40 +0000 2017,don't bother @LiberalNSW we know who she is https://t.co/pv1mO9OCx4
Thu Oct 12 10:28:13 +0000 2017,@WesFangNats @keredm @sffAustralia I'd hazard a guess they are campaigning in #Murray and #Cootamundra you blokes m… https://t.co/ARABlBpKPW
Thu Oct 12 07:39:23 +0000 2017,"RT @venusboy1977: @AustralianLabor @RoseBrennan12 @BernardKeane He's 'radically intervened' in @LiberalNSW's Plebiscite' debate;
He's 'radi…"
