rider,place,grade,usual_grade,club,day,month
12633,,C,C,Bicisport,22,1
14388,,C,C,WaratahMastersCC,22,1
13985,,C,B,RandwickBotanyCC,22,1
15709,,C,C,RandwickBotanyCC,22,1
15947,,C,C,SydneyCC,22,1
16051,,C,C,ParklifeCC,22,1
14571,1,C,C,RandwickBotanyCC,22,1
16052,2,C,C,SydneyCC,22,1
15875,3,C,C,CaravelloCC,22,1
12367,4,C,C,WaratahMastersCC,22,1
15219,5,C,C,PenrithCC,22,1
12481,,D,D,WaratahMastersCC,22,1
12483,,D,D,WaratahMastersCC,22,1
5058,,D,D,WaratahMastersCC,22,1
14907,,D,D,WaratahMastersCC,22,1
12371,,D,D,WaratahMastersCC,22,1
15495,,D,D,SydneyUniVeloClub,22,1
15715,,D,D,SydneyCC,22,1
12385,,D,D,WaratahMastersCC,22,1
12978,,D,C,LidcombeAuburnCC,22,1
13780,,D,D,WaratahMastersCC,22,1
12389,,D,B,CentralCoastCC,22,1
14857,,D,D,WaratahMastersCC,22,1
12603,,D,D,BankstownSportsCC,22,1
13920,,D,D,LidcombeAuburnCC,22,1
15150,,D,D,SutherlandShireCC,22,1
14830,,D,D,WaratahMastersCC,22,1
12362,,D,D,WaratahMastersCC,22,1
12494,,D,E,WaratahMastersCC,22,1
15834,,D,D,WaratahMastersCC,22,1
14895,,D,D,WaratahMastersCC,22,1
16053,1,D,D,ManlyWarringahCC,22,1
15914,2,D,D,SutherlandShireCC,22,1
13375,3,D,D,Bicisport,22,1
12621,4,D,D,WaratahMastersCC,22,1
15915,5,D,D,IllawarraCC,22,1
12434,,E,E,WaratahMastersCC,22,1
12478,,E,E,WaratahMastersCC,22,1
12347,,E,E,WaratahMastersCC,22,1
14115,,E,E,WaratahMastersCC,22,1
12345,1,E,E,WaratahMastersCC,22,1
15517,2,E,E,WaratahMastersCC,22,1
12437,,F,F,WaratahMastersCC,22,1
15924,,F,F,WaratahMastersCC,22,1
15020,,F,F,WaratahMastersCC,22,1
13048,,F,F,WaratahMastersCC,22,1
12383,1,F,F,WaratahMastersCC,22,1
12557,3,F,F,DulwichHillBC,22,1
13960,,A,A,PenrithCC,29,1
15655,,A,A,WaratahMastersCC,29,1
13945,,A,A,WaratahMastersCC,29,1
15360,,A,B,WaratahMastersCC,29,1
15403,,A,A,NorthernSydneyCC,29,1
14127,,A,A,WaratahMastersCC,29,1
14558,,A,A,NorthernSydneyCC,29,1
15145,,A,A,RandwickBotanyCC,29,1
15869,,A,A,NorthernSydneyCC,29,1
14495,,A,A,ParramattaCC,29,1
14538,,A,A,WaratahMastersCC,29,1
15693,,A,A,ManlyWarringahCC,29,1
15315,,A,A,EasternSuburbsCC,29,1
13865,,A,A,CaravelloCC,29,1
13826,,A,A,ParramattaCC,29,1
15822,,A,A,StGeorgeCC,29,1
15690,,A,A,SydneyCC,29,1
15450,,A,A,HarlequinWheelmen,29,1
15488,,A,A,PelotonSports,29,1
16058,,A,A,NorthernSydneyCC,29,1
16057,,A,A,NorthernSydneyCC,29,1
15394,1,A,A,NorthernSydneyCC,29,1
15244,2,A,A,ParramattaCC,29,1
15048,3,A,A,SydneyUniVeloClub,29,1
13975,4,A,A,WaratahMastersCC,29,1
13916,5,A,A,LidcombeAuburnCC,29,1
13385,,B,B,MarconiCC,29,1
13480,,B,B,WaratahMastersCC,29,1
15833,,B,B,WaratahMastersCC,29,1
15348,,B,B,WaratahMastersCC,29,1
13956,,B,B,WaratahMastersCC,29,1
15396,,B,B,HarlequinWheelmen,29,1
5914,,B,B,MarconiCC,29,1
15902,,B,B,SydneyUniVeloClub,29,1
12420,,B,B,WaratahMastersCC,29,1
12510,,B,B,IllawarraCC,29,1
14230,,B,B,WaratahMastersCC,29,1
14439,,B,B,WaratahMastersCC,29,1
14769,,B,B,EasternSuburbsCC,29,1
3661,,B,B,WaratahMastersCC,29,1
3638,,B,B,WaratahMastersCC,29,1
12704,,B,B,EasternSuburbsCC,29,1
15736,,B,B,PenrithCC,29,1
15762,,B,B,WaratahMastersCC,29,1
13985,,B,B,RandwickBotanyCC,29,1
13579,,B,B,SouthernHighlandsCC,29,1
13746,,B,B,CentralCoastCC,29,1
13793,,B,B,PenrithCC,29,1
15381,,B,B,BankstownSportsCC,29,1
15464,,B,B,ManlyWarringahCC,29,1
13929,,B,B,WaratahMastersCC,29,1
16056,,B,B,HarlequinWheelmen,29,1
13185,,B,B,LidcombeAuburnCC,29,1
12682,1,B,B,ParramattaCC,29,1
15906,2,B,B,SydneyUniVeloClub,29,1
