Tue Oct 03 00:35:07 +0000 2017,@NSWLabor AIR INDIA ERSTWHILE INDIAN AIRLINES CASUALS DISCRIMINATED BY TAKING BACK RETIRE EMPLOYEES AFTER 58 AFTER… https://t.co/awIayPSFic
Tue Oct 03 00:29:03 +0000 2017,@NSWLabor Why do we even care what this woman says. Stop giving her oxygen
Tue Oct 03 00:06:55 +0000 2017,@NSWLabor Opening a Pandora’s box if we are talking about ‘no clue’ voters!
Mon Oct 02 23:44:07 +0000 2017,@NSWLabor Just a media tart totally irrelevant
created,text
Mon Oct 16 06:51:39 +0000 2017,"@cpyne @MichaelDanbyMP The @NSWLabor ""infection"" as you put it @cpyne is the Bowen Gerrymander of which Carr is but… https://t.co/3NI3f6JaTt"
Mon Oct 16 06:39:48 +0000 2017,RT @speake53: Here is @NSWLabor first policy announcement in the lead up to the next state election. It's there for them to lose. #grabbing…
Mon Oct 16 06:36:23 +0000 2017,Here is @NSWLabor first policy announcement in the lead up to the next state election. It's there for them to lose.… https://t.co/qN001B2INw
Mon Oct 16 03:56:48 +0000 2017,@BellingenLabor @NSWNationals @NSWLabor Coal is much dirtier and much more dangerous (i accept that its cheap if yo… https://t.co/0IKEuJ6Xk6
Mon Oct 16 03:55:27 +0000 2017,RT @MortyAU: @kailamurnain @NSWLabor Boss lady of Labor NSW hey? Why no action on Mayor threatening victims of child sex abuse unless they…
Mon Oct 16 03:54:26 +0000 2017,@kailamurnain @NSWLabor Boss lady of Labor NSW hey? Why no action on Mayor threatening victims of child sex abuse u… https://t.co/MKCyRkHp9H
Mon Oct 16 03:51:08 +0000 2017,"@stukhan @NSWNationals @NSWLabor Nukes are dirty, dangerous and expensive."
Mon Oct 16 01:29:26 +0000 2017,Well done @NSWLabor - do a deal with Shooters aka the gun lobby and still no win. Waiting to hear why u preferenced them. #nswpol
Mon Oct 16 01:21:03 +0000 2017,@kailamurnain @NSWLabor @Luke_FoleyNSW He is a ⭐
Sun Oct 15 23:11:25 +0000 2017,@NSWLabor yes it is time for the evil lying incompetent greedy berejiklian to go and the other thieves
Sun Oct 15 22:56:36 +0000 2017,It would be a great disappointment for @NSWLabor and NSW if a talentless plodder like @Luke_FoleyNSW ever became Premier. New bloody please.
Sun Oct 15 18:34:41 +0000 2017,@GawainWoolfrey @david4wyong @NSWLabor @CountryLabor Ask @NSWLabor and @david4wyong to deny it.
Sun Oct 15 13:14:24 +0000 2017,"@P_B_Wee @david4wyong @NSWLabor @CountryLabor Did they really? The shooters, fishers &amp; farmers party?"
Sun Oct 15 12:21:31 +0000 2017,Is NSW Labor still a wholly owned subsidiary of the Catholic Church?@NSWLabor #nswpol @smh #VAD #AssistedDying https://t.co/WKendkiE5C
Sun Oct 15 12:15:33 +0000 2017,"@david4wyong @NSWLabor @CountryLabor I don't want to be mean, but do the Nationals even remember when they first sold farmers out?"
Sun Oct 15 08:26:27 +0000 2017,RT @GuyZangariMP: Great to be with my Labor colleagues at Clubs &amp; Community Awards @nswlabor @TaniaMihailukMP @Luke_FoleyNSW @SophieCotsis…
Sun Oct 15 08:23:22 +0000 2017,Great to be with my Labor colleagues at Clubs &amp; Community Awards @nswlabor @TaniaMihailukMP @Luke_FoleyNSW… https://t.co/q2Wob9sKbV
Sun Oct 15 08:13:10 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @NSWLabor And a vote for the Notional’s means farmers are defenceless https://t.co/xsEIuWK23c
Sun Oct 15 08:11:58 +0000 2017,Unfortunately we are stuck with @GladysB until @NSWLabor puts foward a credible leader. It’s time for @Luke_FoleyNSW to go.
Sun Oct 15 08:10:24 +0000 2017,There is a mood for change @Luke_FoleyNSW we can’t wait until @NSWLabor changes leaders.
Sun Oct 15 07:53:49 +0000 2017,"@Luke_FoleyNSW @NSWLabor He wasn't real good as mayor!
An appeaser to the vandals &amp; criminals!
That will continue a… https://t.co/uLz3xJlA9C"
Sun Oct 15 07:47:22 +0000 2017,RT @jarro56: @david4wyong @myfibonacci @NSWLabor @CountryLabor When @NationalParty abet taxpayer funded water theft from upstream MurrayDar…
Sun Oct 15 07:32:12 +0000 2017,@david4wyong @myfibonacci @NSWLabor @CountryLabor When @NationalParty abet taxpayer funded water theft from upstrea… https://t.co/vIhb2yh3Gv
Sun Oct 15 07:28:44 +0000 2017,RT @david4wyong: @faully33 @NSWLabor @CountryLabor Yes 20% swing. Nothing to see here. Heads still in the sand.
Sun Oct 15 04:43:45 +0000 2017,@faully33 @NSWLabor @CountryLabor Yes 20% swing. Nothing to see here. Heads still in the sand.
Sun Oct 15 02:28:43 +0000 2017,"RT @P_B_Wee: @david4wyong @NSWLabor @CountryLabor Yeah, but @NSWLabor’s tactic of preferencing the Gunslinging Elephant Eaters Party higher…"
Sun Oct 15 01:07:28 +0000 2017,@Talaolp @NSWLabor Tell you any thing 🤔 :)))
Sun Oct 15 00:04:17 +0000 2017,@Luke_FoleyNSW @NSWLabor That will be the best way to show your dislike to this toll it's unfair when a labour gove… https://t.co/xWFh68Z57z
Sat Oct 14 23:52:33 +0000 2017,"@sffAustralia @NSWNationals Confident? I’ve said there’s much work to do.  You’re 3rd - to Labor. Always said, a vo… https://t.co/xHa8NO9ifa"
